# LO 21.1
What terms are associated with Human Trafficking?	slave labor, involuntary servitude, exploitation
ABUSE can involve what acts or ommissions?	compelling or encouraging the child to engage in sexual conduct as defined by Section 43.01, Penal Code, including compelling or encouraging the child in a manner that constitutes an offense of trafficking of persons under Section 20A.02(a)(7); Penal Code, prostitution under Section 43.02 Penal Code, or compelling prostitution under Section 43.05(a)(2), Penal Code; knowingly causing, permitting, encouraging, engaging in, or allowing a child to be trafficked in a manner punishable as an offense under Section 20A.02(a)(5), (6), (7), or (8) Penal Code; or the failure to make a reasonable effort to prevent a child from being trafficked in a manner punishable as an offense under any of those sections.
True or False: It is a defense to prosecution for a Human Trafficking offense against a child if the actor did not know the age of the child.	False.
How is CONSENT defined in this chapter of BPOC?	The instance when one person voluntarily agrees to the proposal or desires of another.
Describe the main difference between TRAFFICKING and SMUGGLING.	TRAFFICKING is a crime against a HUMAN, and the exploitation of the person. SMUGGLING involves moving a human or humans across BORDERS, and is a crime against a COUNTRY.
What age does a person need to be to be considered a CHILD in terms of trafficking?	Under 18 years of age OTHERWISE PHRASED AS 17 years of age or younger.
What three-word term is defined as "The recruitment, transportation, transfer, harbouring or receipt of persons, by means of the threat or use of force or other forms of coercion, of abduction, of fraud, of deception, of the abuse of power or of a position of vulnerability or of the giving or receiving of payments or benefits to achieve the consent of a person having control over another person, for the purpose of exploitation"	Trafficking in persons
True or False: A consensual sex worker is not invloved in human trafficking; A trafficking victim is a sexual assault victim.	True.

# LO 21.3
According to BPOC, what is the form of Human Trafficking to which children are most often victims?	Sex tourism.
True or False: To be officially defined as HUMAN TRAFFICKING, a crime against a child must involve force, fraud, or coercion.	False. Children are unable to provide consent, making any offense meeting Commercial Sexual Exploitation of Children a trafficking offense.
How is SURVIVAL SEX defined by this chapter?	Exchanging sex/sexual acts for money or something of value [e.g., shelter, food, drugs].
According to a 2004 study, in what percentage of cases were family members of the victims perpetrators of child pornography offenses?	25%
What conditions can make persons vulnerable to forced labor (involuntary servitude) based trafficking?	high rates of unemployment, poverty, crime, discrimination, corruption, political conflict, and/or cultural acceptance of the practice
True or False: A trafficking offense can be committed by an actor that holds identifying documents of another and prevents access to them.	True.

# LO 21.4
Name some top ORIGIN countries for victims of Human Trafficking. Nigeria, Benin, Ghana, Morocco, China, Thailand, Belarus, Moldova, the Russian Federation, Ukraine, Armenia, Georgia, Kazakhstan, Uzbekistan, Brazil, Colombia, Dominican Republic, Guatemala, and Mexico
Name some top DESTINATION countries for victims of Human Trafficking.	United States, Canada, Australia, and New Zealand
True or False: Human Trafficking victims are often eager to interact with law enforcement.	False. Due to the victims’ vulnerabilities, they will be fearful of law enforcement, which traffickers use to their own gain.
What are some examples of PUSH factors in Human Trafficking?	Economic and political instability
What are some examples of PULL factors in Human Trafficking?	Disposable income and affluent countries

# LO 21.5
How is ECONOMIC MARGINALIZATION defined in BPOC chapter 21?	A group of people, or countries, that are excluded from participating equally in the economic system.
True or False: Some countries reap the benefits of free markets and free trade (get richer) while others suffer as a result of free trade (get poorer).	True
What term refers to the "dire economic circumstances that most women face when there are a finite number of jobs available, and most jobs are afforded to men?"	The feminization of poverty. 
True or False: the United States ranks very low as a destination country for victims of human trafficking.	False. The United States ranks very high. 
"It is not only important to diminish the vulnerability of potential victims, but it is equally important to increase vigilance of possible offenders" was a point made by whom?	Felson and Cohen (1979)

# LO 21.6
What does the acronym UNODC stand for?	United Nations Office on Drugs and Crime
Who comprises the smallest category of Human Trafficking victims?	Men.
Most victims of Human Trafficking are:	Adult women and children, primarily girls younger than 17 years of age.
True or False: In some countries human trafficking is a gendered crime, meaning that men who are exploited for sexual and/or labor purposes are not considered victims of this crime.	True.
Name some common victim characteristics, as outlined in LO 21.6.	Low level of education or no education, Unemployment, Limited employment opportunities in countries of origin, Dire economic circumstances, Social and economic inequality in countries of origin, Armed conflict, military occupation, and/or regional conflict in countries of origin
What are the two types of recruitment called out in LO 21.6?	Recruitment-by-force and recruitment-by-persuasion.
What are some risk factors to youth defined in LO 21.6?	History of physical and sexual abuse, neglect, or sexual assault, Youth who have run away or are experiencing homelessness, History of teen dating violence, History of parent/guardian or personal drug use
True or False: Female victims are often recruited by people they don't know, and spouses/boyfriends are rarely involved.	False. Raymond et al. (2001) found that female victims were too often recruited by spouses/boyfriends.
Name some of the staged of recruitment and exploitation.	Local recruiter who knows the culture and vulnerability of victims; Recruiters are often acquaintances or friends of the victims; Recruiters are often victims themselves (bottoms); Exaggerated stories of money; Newspapers and/or online ads (recruitment-by-persuasion)
What recruitment method involves abducting, kidnapping, or drugging victims?	Recruitment-by-force
True or False: Human Trafficking can occur in a potential victim's own home.	True.
True or False: Exploitation always takes place immediately.	False. Exploitation can take a few weeks to materialize.
What are some business types in which Human Trafficking can be discovered amongst the employees?	Maids, agricultural workers, restaurants, garment workers and textiles.

# LO 21.7
What do traffickers maintain over victims of Human Trafficking at all times, making victims unwilling (or perhaps making it impossible for victims) to report their situation to law enforcement?	Control
What are some forms of CONTROL used by traffickers?	a false sense of security as a result of the trust established between the recruiter and the victim; tricking the victim into believing that the employment opportunity is legitimate; tricking the victim into believing that no harm will come to them; abduction/drugging; confiscation of passports and other travel documents; lying/brainwashing; restricting movement
What types of violence are used to "break-in" victims?	physical assault or sexual assault

# LO 21.8
True or False: According to the Palermo Protocal, any smuggled migrant becomes a victim of human trafficking when they are forced into employment against their will.	True.
Certain victims tend to be "invisible" because of what factor being true about their immigration status?	Their status as an ILLEGAL immigrant can cause law enforcement to treat them as criminals before treating them as victims, and thus can also make these victims hesitant to engage with law enforcement.

# LO 21.9
Name some behavioral indicators that can indicate a victim of trafficking.	Disconnect from family, friends, and community; sudden dramatic change in behavior; stops attending school; bruises in various stages of healing; deferring to another person when questioned; absence of freedom of movement; frightened, resistant, or belligerent to law enforcement; use of trafficking related terms like "trick," "the life," or "the game"; child preoccupied with making money; no stable living situation; tattoos/branding
When engaging with potential trafficking victims, it is important to ask questions in what fashion?	a non-threatening and non- authoritative manner
What are important questions that can be asked related to safety and/or coercion?	What is your understanding of what would happen if you tried to leave? Have you been physically harmed, deprived of food, water, sleep, medical care, or other life necessities? Can you come and go as you please? Are you free to have a relationship with someone? Can you freely contact (phone, write, email) friends and family?
What are the three channels of communication identified in BPOC chapter 21 (which are also identified in the Verbal Communication chapter)?	Non-verbal, Verbal, Paralinguistic
What percentage of communication is communicated at a non-verbal level?	70%
What are some examples of non-verbal communication from a potential trafficking victim?	Dryness of mouth, Restlessness, Excessive sweating, Posture, Hand movements/fidgeting
Analysis of non-verbal cues is known as _______ interviewing.	Kinesic
What case is specifically called out in BPOC chapter 21 as a horrendous sweatshop operation that had been in the United States?	The El-Monte Case, a Thai garment facility in which workers would labor 18 hours a day for less than $2 an hour.

# LO 21.10
What are indicators related to finding Human Trafficking offenders?	Organised crome groups involved in transportation and document forging; deceptive schemes of organizations intended to lure victims; links between smaller crime groups tying to larger crime groups (scale of operations); mens rea (criminal intent)
What are some negative consequences victims may face if they resist or deny their captors?	beatings; assaults; injury to self or family; retribution

# LO 21.11
Name some of the necessary roles that must be filled in a Human Trafficking operation.	Recruiter; employment/travel agent; document thief/forger; transporter; employer; enforcer

# LO 21.12
What is the definition of a Bottom Bitch/Bottom Girl?	The person in a stable of victims who is appointed by the trafficker to manage, recruit, and supervise others
What is it called when a trafficker tattoos a victim to show ownership?	Branded/Branding
What is meant if someone were to use the phrase "Hit a stain?"	To contact someone to have sex for money
"Breaking" in the context of Human Trafficking refers to what practice?	Breaking someone down through control and force so they are subservient and lose their will to fight back
"Enforcers" or "Gorilla Pimps" are offenders that perform what role?	Someone who teaches victims a lesson by beatings or showing them the consequences if someone doesn’t follow the rules
What do the terms "Tricks," "Johns," and "Dates" refer to?	Buyers of commercial sex
If someone is "trappin'," what does that indicate?	Having sex with many people
When a buyer comes to a residence or hotel room for sex, it is called:	Incall
When the victim goes to the residence/hotel room of a buyer for sex, it is called:	Outcall

# LO 21.13
True or False: It is important to engage the community and collaborate with other agencies when working Human Trafficking investigations.	True.
The acronym HSI refers to which federal agency?	Homeland Security Investigations
What key factors to local law enforcement bring to Human Trafficking investigations?	knowledge of the jurisdiction, the community, and the local criminal element
True or False: federal law enforcement officals may not permit an alien individual's continued presence in the United States, even if it is determined that the individual is a victim or witness of trafficking in order to effectuate prosecution of those responsible.	False. They may permit an alien individual's continued presence under this condition.
What federal agency does the acronym ICE represent (besides Recruit Vigil)?	U.S. Immigration and Customs Enforcement
What does the acronym WHD represent?	the U.S. Department of Labor’s Wage and Hour Division
In 2007, it created the HTPU was created to consolidate the expertise of some of the nation's top human trafficking prosecutors. What does HTPU stand for?	Human Trafficking Prosecution Unit
On the request of a crime victim, the crime victim has the following rights:	The right to notification of court proceedings; The right to be present at all public court proceedings related to the offense, unless the victim is to testify and the court determines that the victim's testimony would be materially affected if the victim hears other testimony at the trial; The right to confer with a representative of the prosecutor's office; The right to restitution; The right to information about the conviction, sentence, imprisonment, and release of the accused.

# LO 21.14
What are the 5 tiers of Maslow's heirarchy of needs?	physiological, safety, love/belonging, esteem, and self-actualization
True or False: Threats are conducive to good communication.	False. Threats hinder communication.
______ language increases the sense of threat while _______ language reduces it.	biased; neutral
Since victims are often reluctant to talk, interviews should be conducted in a safe and non-threatening environment such as:	local domestic violence shelters or churches
Should a law enforcement officer be patient and empathetic when dealing with trafficking victims, or direct in questioning?	Patient and empathetic.
What is the definition of the term "Stockholm Syndrome?"	a psychological phenomenon where a captive or abuse victim develops positive feelings, empathy, or loyalty toward their captor

# LO 21.15
What does the acronym CAC represent?	Children's Advocacy Centers, which coordinates activities, provides formal processes, provides victim support and advocacy, and provides specialized medical evaluations and treatment services.
what are the six services provided by CACs?	Joint Investigation Coordination; Specialized Forensic Interviews; Medical Evaluations; Multi-disciplinary Team Case Review; Trauma-Focused Therapy; Family Advocacy and Victim Support
What is the definition of a forensic interview?	a developmentally sensitive and legally sound method of gathering factual information regarding allegations of abuse and/or exposure to violence
What did The Blackjack Case in Florida involve?	sex trafficking and forced labor of young Mexican girls. The case is referred to as the Blackjack case because each customer received a playing card each time he paid.
What agencies were involved in The Blackjack Case, thus proving how crucial collaboration is in breaking Human Trafficking rings?	the Collier County Sheriff’s Office, the Lee County Sheriff’s Office, the Fort Meyers Police Department, and the FBI. Six girls were rescued.

# LO 21.16
True or False: Trafficked persons who escape their situation often do not find themselves victimized again as a result of the treatment they receive at the hands of the authorities.	False. Trafficked persons who escape their situation often find themselves victimized again as a result of the treatment they receive at the hands of the authorities (read carefully).
In 1949, the United Nations signed an international treaty to suppress the ____ __ ______.	Sale of humans 
How many countries were signatories to the international treaty known as the Polermo Protocol?	148
TVPA stands for what Act?	The Victims of Trafficking and Violence Protection Act
What was abolished by the 13th amendment of the US Constitution?	Slavery
The TVPS uses a three-level approach to combat trafficking. What are they (3 P's)?	Prevention; Protection; Prosecution
Define the tiering of countries under the TVPA standards.	Tier 1 Countries are those that fully comply with the TVPA minimum standards; Tier 2 Countries are those that do not fully comply within the minimum standards but are making significant efforts to bring themselves into compliance; Tier 2 Watch List Countries are those that require special scrutiny because of (1) a high or significantly increasing number of victims, (2) failure to provide evidence of efforts to combat trafficking or, (3) an assessment as Tier 2 based on commitments to take action over the next year; Tier 3 Countries are those that neither satisfy the minimum standards nor demonstrate a significant effort to come into compliance.
True or False: All signatories are subject to the tiering in the Trafficking in Persons Report.	False. Only countries receiving financial aid are subject, as it is a Department of State published report.

# LO 21.17
When a sex trafficking offense is committed against a _____, it is treated like a felony statutory sexual assault.	Child 
Define sex trafficking.	the recruitment, harboring, transportation, provision, obtaining, patronizing, or soliciting of a person for the purpose of a commercial sex act in which a commercial sex act is induced by force, fraud, or coercion, or in which the person forced to perform such an act is under the age of eighteen years old
Define labor trafficking.	the recruitment, harboring, transportation, provision, or obtaining of a person for labor services, through the use of force, fraud, or coercion for the purpose of subjection to involuntary servitude, peonage, debt bondage or slavery
Define document servitude.	holding an actual or false identity document of a victim while committing a trafficking offense
What is the RICO statute?	The Federal Racketeer Influenced and Corrupt Organizations Act, allowing victims to sue their captors in federal courts.
How many states now have anti-trafficking laws?	All 50.
What does the TVPA, in effect, do?	Creates laws that criminalize trafficking regarding slavery, involuntary servitude, peonage or forced labor; Permits prosecution where non-violent coercion is used to force victims to work in belief they would be subject to serious harm; Permits prosecution where victim's service is compelled by confiscation of documents such as passports or birth certificates; Requires courts to order restitution and forfeiture of assets upon conviction; Enables victims to seek witness protection and other types of assistance; Gives prosecutors and agents new tools to get legal immigration status for victims of trafficking during investigation and prosecution
What increases prison terms for all slavery violations and adds life imprisonment where violation involves death, kidnapping, or sexual abuse of victim?	The TVPA 

# LO 21.18
A T-visa allows victims of severe forms of trafficking to do what?	To remain in the United States for four years and at the end of four years, T-visa holders may apply for permanent residence.
What form must be submitted for a T-Visa?	I-914 Application for T Nonimmigrant Status
Proof of victimization generally has what two forms?	a personal narrative; a letter by a federal law enforcement officer attesting to the victims claims of victimization
A personal narrative must contain what information?	What were the circumstances of their entry into the U.S.; The purpose for which they were brought into the U.S.; How they were recruited or otherwise became involved in the trafficking situation; When the events took place; Who was responsible; How long they were detained by the traffickers; How and when they escaped, were rescued, or otherwise became separated from the traffickers; What they have been doing since they were separated from the traffickers; Why they were unable to leave the U.S. after being separated from the traffickers; What harm or mistreatment they fear if they were removed from the U.S.; Why they fear they would be harmed or mistreated
Victims are encouraged to also submit which supplemental form for a T-Visa?	Form I-914, Supplement B, Declaration of Law Enforcement Officer for Victim of Trafficking in Persons.
True or False: Law enforcement may begin the process of obtaining a T-Visa for a victim of trafficking.	False. Victims must self-petition and must begin the process for T-visas rather than waiting for law enforcement to begin this process for them
True or False: T-Visa applicants must agree to cooperate in order to stay in the U.S.	True.
The maximum number of T-visa applicants whose status may be adjusted to that of permanent resident per year is ____ and does not include family members.	5,000

# LO 21.19
The TVPA reauthorization in 2003 authorized $___ million over two years to combat human trafficking.	200
The TVPA reauthorization in 2005 authorized $___ million over two years to combat human trafficking.	300
The TVPA reauthorization in 2005 authorized a $5 million pilot _________ _______.	treatment program
The 3 P's of the TVPA, Prevention, Protection, and Prosecution, were introduced in the ____ reauthorization.	2008
The 2013 reauthorization of the TVPA focused on eliminating human trafficking from the ______ _____ __ _____.	supply chain of goods 
Which TVPA reauthorization year led to grant funding to train school resource officers to recognize and respond to signs of human trafficking?	2017

# LO 20.20
Define "Forced labor or services".	labor or services, other than labor or services that constitute sexual conduct, that are performed or provided by another person and obtained through an actor's use of force, fraud, or coercion.
Define "School".	a public or private primary or secondary school.
Penal Code 20A.02 (Trafficking of Persons) calls out specific offenses through which force, fraud, or coercion are used to cause a trafficked person to commit them. What are those offenses?	Prostitution; Promotion of Prostitution; Online Promotion of Prostitution; Aggravated Promotion of Prostitution; Aggravated Online Promotion of Prostitution; Compelling Prostitution;
What additional offenses are called out specific to children?	Continuous Sexual Abuse of Young Child or Disabled Individual; Indecency with a Child; Sexual Assault; Sexual Performance by a Child; Employment Harmful to Children; Possession or Promotion of Child Pornography
True or False: A conviction under Penal Code chapter 20A may be had on the uncorroborated testimony of a party to the offense.	True
Define "adjudicatory proceeding".	a proceeding before a court or any other agency of government in which the legal rights, powers, duties, or privileges of specified parties are determined.

# LO 21.21
Victim service providers are indispensable to the success of an investigation and prosecution because they are usually the first to establish what with victims?	Rapport
True or False: Many domestic victims have had encounters with law enforcement that has led to them being arrested due to their victimization.	True 

# LO 21.22
What are the three types of victim service providers?	Governmental, Non-governmental (NGO), and Combination of governmental and non-governmental.
Name some of the NGOs available to victims.	UnBound, Voice of Hope, Traffick 911, For the Silent; SAFE, MOSAIC

# LO 21.23
What is often the first service required after ensuring a victim's safety?	Use of an interpreter
True or False: Victims of trafficking only need help finding short-term hosuing.	False. victims must be provided with housing, either short-term or long-term, depending on the situation
What are three major categories of services that are usually needed by victims of trafficking?	Medical, Legal, Employment 
True or False: The right to mandatory restitution is covered under the TVPA.	True.

# LO 21.24
What agency does the acronym BJA refer to?	Bureau of Justice Assistance
True or False: Collaboration in Human Trafficking cases is limited only to agencies within the criminal justice system.	False. Human trafficking cases require the involvement of many different agencies and organizations within and beyond the criminal justice system.
True or False: It is local law enforcement who is best situated to identify victims of human trafficking and local victim service providers who are better able to provide victims with immediate and necessary assistance.	True 

# LO 21.25
Engaging the community is important because the community can be referred to as the "____ and ____" of the police.	eyes; ears
True or False: The community has a clear picture of what constitues trafficking, making it very easy to collaborate on trafficking cases.	False. the image the public sees of human trafficking portrays a female tied up with ropes, dirty, locked in a cell. This is by far not the most common situation with which the public will encounter a victim.
What are some effective and quick means to disseminate information?	Newspapers; Radio; TV Stations; Social media; Billboards; Brochures; Pamphlets
Name some common social service providers.	Salvation Army; Red Cross; YMCA

# LO 21.26
True or False: Departmental training, educating the community, identifying hot-spots or problem locations, and identifying at-risk populations are important steps in having a proactive response to human trafficking.	True
A ______-________ approach is one that does not criminalize or re-victimize the victim bur focuses on ensuring safety.	victim-centered

# LO 21.27
What are some of the things agencies said they were lacking in a National Institute of Justice report published in 2006 that led to challenges in human trafficking cases?	Resources, mainly shelters; interpreters; task forces; funds; standard protocols to guide investigations
_____ and _______ are key to overcoming fears of victims and get them to be cooperating witnesses.	Trust; rapport
The nature of these crimes requires appropriate ______ and ________ orientation to effectively gather criminal intelligence and arrest perpetrators.	social; cultural
What are some sociological and psychological barriers may impede processes?	sociocultural differences, language, and gender

# LO 21.28
In Bexar County, The Blush Club had its ______ _______ revoked due to human trafficking charges involving a 16-year-old runaway working in a sexually oriented business, marking the first permit to be cancelled regarding human trafficking.	liquor license
In the case of the Nightclub Dancer, social media was used during the investigation. Social media is a type of ____-______ intelligence.	open-source
The Brothel Bust involved a house being used as a brothel as well as 15 other locations during the investigation. Thes 15 other locations were mainly _______ _______.	massage parlors
In 2015, a house was identified as being used for trafficking by what odd behaviors noted by a neighbor?	very little furniture; the male would not stay overnight; the male would only arrive every few days with food and supplies; traffic at the house became more frequent at all hours of the night; different cars would stay a short time and then leave.
In a Houston traffic stop, an officer made what observations to identify a white juvenile female as a missing person from a neighboring county?	attempting to hide her face; female provided first name but not last name; age provided did not match date of birth provided.
